Id,Category
532,3
533,3
534,8
535,3
536,1
537,3
538,3
539,3
540,2
541,4
542,1
543,3
544,3
545,3
546,1
547,3
548,3
549,7
550,3
551,9
552,3
553,0
554,8
555,3
556,0
557,3
558,8
559,3
560,3
561,1
562,3
563,7
564,3
565,3
566,3
567,7
568,3
569,1
570,3
571,8
572,5
573,4
574,4
575,4
576,4
577,4
578,4
579,4
580,4
581,4
582,4
583,4
584,1
585,4
586,4
587,4
588,4
589,4
590,4
591,4
592,4
593,4
594,4
595,4
596,4
597,4
598,4
599,4
600,4
601,4
602,4
603,4
604,4
605,4
606,4
607,4
608,4
609,4
610,4
611,4
612,4
613,4
614,4
615,4
616,4
617,4
618,4
619,4
620,4
621,4
622,4
623,4
624,4
625,4
626,4
627,4
628,4
629,4
630,4
631,8
632,4
633,4
634,4
635,4
636,0
637,4
638,4
639,4
640,4
641,4
642,4
643,4
644,4
645,4
646,4
647,4
648,4
649,9
650,4
651,4
652,4
653,4
654,4
655,4
656,4
657,4
658,4
659,4
660,6
661,4
662,4
663,4
664,4
665,5
666,4
667,4
668,9
669,4
670,4
671,4
672,4
673,4
674,4
675,4
676,4
677,4
678,4
679,4
680,4
681,4
682,4
683,4
684,4
685,4
686,4
687,4
688,4
689,4
690,4
691,4
692,4
693,5
694,5
695,5
696,5
697,5
698,5
699,5
700,5
701,5
702,5
703,5
704,5
705,5
706,5
707,5
708,5
709,7
710,5
711,5
712,2
713,5
714,5
715,5
716,5
717,8
718,5
719,5
720,8
721,5
722,5
723,5
724,5
725,4
726,5
727,5
728,8
729,5
730,5
731,5
732,4
733,5
734,5
735,5
736,5
737,5
738,2
739,5
740,5
741,7
742,5
743,5
744,1
745,5
746,7
747,5
748,0
749,5
750,5
751,5
752,2
753,5
754,5
755,5
756,5
757,5
758,5
759,5
760,5
761,5
762,2
763,5
764,5
765,5
766,4
767,5
768,5
769,5
770,5
771,0
772,5
773,5
774,5
775,5
776,5
777,5
778,5
779,5
780,5
781,5
782,1
783,5
784,5
785,8
786,5
787,5
788,7
789,5
790,2
791,5
792,2
793,5
794,5
795,5
796,5
797,5
798,5
799,5
800,5
801,5
802,5
803,5
804,5
805,5
806,5
807,5
808,5
809,5
810,5
811,5
812,5
813,6
814,6
815,6
816,6
817,6
818,6
819,6
820,6
821,6
822,6
823,6
824,6
825,6
826,6
827,6
828,6
829,6
830,6
831,6
832,6
833,6
834,6
835,6
836,6
837,6
838,6
839,6
840,6
841,6
842,6
843,6
844,6
845,6
846,6
847,6
848,6
849,6
850,6
851,6
852,6
853,6
854,6
855,6
856,6
857,6
858,6
859,6
860,6
861,6
862,6
863,6
864,6
865,6
866,6
867,6
868,6
869,6
870,6
871,6
872,6
873,6
874,6
875,6
876,6
877,6
878,6
879,6
880,6
881,6
882,6
883,6
884,6
885,6
886,6
887,6
888,6
889,6
890,6
891,6
892,6
893,6
894,6
895,6
896,6
897,6
898,6
899,6
900,6
901,6
902,6
903,6
904,6
905,6
906,6
907,6
908,6
909,6
910,6
911,6
912,6
913,6
914,6
915,6
916,6
917,6
918,6
919,6
920,6
921,6
922,6
923,6
924,6
925,6
926,6
927,6
928,2
929,6
930,7
931,7
932,7
933,7
934,7
935,5
936,7
937,7
938,7
939,7
940,7
941,7
942,7
943,7
944,5
945,2
946,7
947,7
948,7
949,7
950,7
951,7
952,4
953,7
954,7
955,7
956,7
957,7
958,2
959,7
960,7
961,7
962,7
963,7
964,7
965,7
966,7
967,8
968,7
969,7
970,4
971,7
972,4
973,7
974,5
975,7
976,5
977,7
978,7
979,7
980,7
981,3
982,7
983,7
984,7
985,7
986,7
987,8
988,7
989,7
990,2
991,7
992,7
993,7
994,7
995,7
996,4
997,7
998,7
999,7
1000,7
1001,7
1002,5
1003,8
1004,7
1005,7
1006,7
1007,1
1008,7
1009,7
1010,7
1011,7
1012,7
1013,7
1014,7
1015,2
1016,7
1017,4
1018,4
1019,5
1020,7
1021,7
1022,7
1023,2
1024,7
1025,7
1026,7
1027,2
1028,2
1029,7
1030,5
1031,7
1032,1
1033,7
1034,7
1035,7
1036,7
1037,7
1038,0
1039,8
1040,8
1041,0
1042,6
1043,8
1044,1
1045,8
1046,8
1047,8
1048,0
1049,0
1050,8
1051,0
1052,8
1053,5
1054,8
1055,8
1056,0
1057,0
1058,8
1059,8
1060,5
1061,8
1062,4
1063,8
1064,0
1065,8
1066,8
1067,0
1068,8
1069,7
1070,0
1071,8
1072,3
1073,8
1074,1
1075,8
1076,8
1077,8
1078,7
1079,0
1080,8
1081,0
1082,8
1083,8
1084,7
1085,8
1086,0
1087,8
1088,4
1089,8
1090,4
1091,8
1092,0
1093,8
1094,8
1095,8
1096,8
1097,8
1098,8
1099,8
1100,8
1101,8
1102,2
1103,2
1104,8
1105,8
1106,8
1107,8
1108,8
1109,8
1110,8
1111,8
1112,8
1113,8
1114,8
1115,8
1116,8
1117,8
1118,8
1119,8
1120,2
1121,8
1122,1
1123,0
1124,2
1125,0
1126,3
1127,8
1128,1
1129,0
1130,1
1131,9
1132,8
1133,2
1134,8
1135,8
1136,9
1137,8
1138,8
1139,8
1140,1
1141,9
1142,9
1143,9
1144,9
1145,9
1146,9
1147,9
1148,0
1149,9
1150,9
1151,9
1152,9
1153,0
1154,9
1155,9
1156,9
1157,9
1158,9
1159,9
1160,9
1161,9
1162,9
1163,9
1164,9
1165,9
1166,9
1167,9
1168,9
1169,9
1170,9
1171,2
1172,9
1173,9
1174,9
1175,9
1176,9
1177,9
1178,9
1179,9
1180,9
1181,9
1182,9
1183,0
1184,1
1185,9
1186,9
1187,9
1188,9
1189,9
1190,9
1191,9
1192,9
1193,9
1194,5
1195,9
1196,9
1197,9
1198,9
1199,0
1200,0
1201,9
1202,5
1203,9
1204,9
1205,9
1206,9
1207,9
1208,8
1209,9
1210,9
1211,9
1212,9
1213,0
1214,9
1215,9
1216,9
1217,9
1218,9
1219,9
1220,9
1221,9
1222,9
1223,9
1224,9
1225,9
1226,9
1227,9
1228,9
1229,9
1230,9
1231,9
1232,1
1233,9
1234,9
1235,9
1236,9
1237,9
1238,9
1239,9
1240,9
1241,9
1242,9
1243,1
